iso3,year,GDP,logGDP,hdicode_x,region_x,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII Rank,Gender Inequality Index (value),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, total (millions)_x","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)",GII_Category,hdicode_y,region_y,"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",GDI Group,Gender Development Index (value),"Gross National Income Per Capita, female (2021 PPP$)","Gross National Income Per Capita, male (2021 PPP$)",HDI female (value),HDI male (value),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)","Population, total (millions)_y",GDI_gap,GDI_gap_abs,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Dismissal of pregnant workers is prohibited (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),Paid leave is available to fathers (1=yes; 0=no),Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),The government administers 100% of maternity leave benefits (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The mandatory retirement age for men and women is the same (1=yes; 0=no),There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),There is legislation on sexual harassment in employment (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),There is paid parental leave (1=yes; 0=no),Gender Inequality Index (value)_shifted
URY,2000,10929.30026077572,9.299202559064097,Very High,LAC,67.08,,0.379,49.34,72.91,26.57347988,53.11714336,50.69999967,3.2662065,11.53846154,88.46153846,B,Very High,LAC,14.88309002,13.46545029,,1.003,12889.43866,24833.12287,0.762358448,0.760096948,78.858,70.641,8.484285968,8.122857094,3.2662065,-0.0029999999999998916,0.0029999999999998916,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.381
UZB,2000,2644.263541639477,7.880147871359643,High,ECA,21.589,,0.352,32.27,41.88,42.6469966,99.88599744,99.8160469,24.7870545,7.2,92.8,B,High,ECA,10.43187046,10.7465601,,0.944,2017.124436,3404.912684,0.583527915,0.618317743,68.616,62.395,9.82048432,10.31224132,24.7870545,0.05600000000000005,0.05600000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,
VUT,2000,2206.102403571179,7.698982619212559,Medium,EAP,77.999,,,42.87,49.08,108.7142964,,,0.186281,0.0,100.0,,Medium,EAP,9.348480225,9.322039604,,,2254.910381,3516.169765,,,71.278,67.034,,,0.186281,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
VEN,2000,11577.12997100893,9.356786876799783,High,LAC,96.707,,0.502,50.87,82.87,92.40869862,42.79000092,40.88000107,24.526708,11.40684411,88.59315589,MB,High,LAC,10.95293999,9.969249725,,0.971,10714.71035,24532.20206,0.688170849,0.708616062,76.244,68.757,7.620000102,7.978181406,24.526708,0.029000000000000026,0.029000000000000026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.51
VNM,2000,2614.118403669715,7.868682189129918,High,EAP,29.936,,0.353,68.8,76.1,88.46067162,31.91611128,41.00422776,77.1540105,26.0,74.0,B,High,EAP,10.07864116,10.99317153,,0.955,3508.341966,4930.373122,0.589175766,0.617198983,77.278,68.2,5.14844133,6.196619777,77.1540105,0.04500000000000004,0.04500000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.359
PSE,2000,2782.513884827949,7.931110073192218,Medium,AS,91.456,,,12.3,67.38,62.02705295,33.55260991,47.82374266,3.1517925,,,,Medium,AS,11.16617966,11.03641033,,,1248.29573,9203.872087,,,72.376,68.284,,,3.1517925,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
YEM,2000,2623.61531887263,7.872308538277603,Low,AS,112.566,,,19.36,69.6,274.9769314,,,19.6241405,0.664451827,99.33554817,,Low,AS,4.703197598,9.609615088,,0.624,1140.317779,5319.260822,0.324543212,0.519976855,64.616,60.895,0.385603297,2.516226117,19.6241405,0.376,0.376,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ZMB,2000,1708.515526161936,7.443380159112495,Medium,SSA,155.69,,0.65,44.93,67.07,418.6942063,18.96298177,36.71620996,10.0176315,10.12658228,89.87341772,NB,Medium,SSA,7.813021644,9.334396664,,0.804,1429.506227,2897.749796,0.380517039,0.473516271,47.295,45.797,4.273350034,6.608678647,10.0176315,0.19599999999999995,0.19599999999999995,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.65
ZWE,2000,2226.782976060547,7.708313211256125,Medium,SSA,102.221,,0.606,67.09,80.53,387.7503272,32.99800034,51.09599991,11.892055,9.333333333,90.66666667,NB,Medium,SSA,9.776120186,11.13070011,,0.87,1858.616315,2773.598445,0.42667648,0.490328148,47.298,44.834,5.689999771,7.479999924,11.892055,0.13,0.13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.587
AFG,2001,747.6880454599286,6.616985839460144,Low,SA,152.471,,,,,1273.431339,1.901708894,9.457921471,20.284307,,,,Low,SA,4.058275305,7.912708193,,,,,,,57.089,53.941,0.395636195,2.280368593,20.284307,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ALB,2001,4300.812340824363,8.366559200309966,Very High,ECA,8.811,,0.237,46.79,69.49,12.5255331,71.0,80.56999969,3.1479435,5.714285714,94.28571429,B,Very High,ECA,10.845504,11.06134777,,0.93,5080.91607,9838.119764,0.663391394,0.712973369,78.031,72.204,8.239999771,9.420000076,3.1479435,0.06999999999999995,0.06999999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.291
DZA,2001,9543.520353410317,9.163617706166402,High,AS,8.065,,0.597,7.46,49.36,155.6076592,18.57430103,31.17967169,31.3312215,4.007633588,95.99236641,NB,High,AS,11.72674493,11.19457503,,0.79,2303.171743,20205.75542,0.555457456,0.703405554,72.295,69.823,4.391103167,6.846252046,31.3312215,0.20999999999999996,0.20999999999999996,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.61
AGO,2001,3427.853949485023,8.139689673642314,Medium,SSA,147.253,,,,,799.6407864,,,16.7472075,15.45454545,84.54545455,,Medium,SSA,4.671165049,5.829214931,,,,,,,50.047,44.162,2.333626,4.727654,16.7472075,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
ATG,2001,18481.79362764294,9.824541398258761,Very High,LAC,59.991,,,,,47.16184028,,,0.076069,8.333333333,91.66666667,,Very High,LAC,,,,,,,,,78.592,71.531,9.751467982,8.870674213,0.076069,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,
ARG,2001,11117.75492330395,9.316298652034622,Very High,LAC,63.491,,0.425,43.2,72.6,72.13985783,46.09999847,45.65999985,37.6248255,21.27659574,78.72340426,MB,Very High,LAC,17.21298027,15.42481041,,0.994,13761.33639,27622.10238,0.788707851,0.793512938,77.642,70.637,8.979999542,8.739999771,37.6248255,0.006000000000000005,0.006000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.426
ARM,2001,2844.362663546494,7.953094301621178,Very High,ECA,33.063,,0.447,36.3,44.52,49.56898396,89.97000122,92.38999939,3.0843495,3.053435115,96.94656489,MB,Very High,ECA,10.85949625,10.13506262,,0.933,2955.149627,8033.527543,0.641675389,0.687595715,74.288,67.735,10.39999962,10.60000038,3.0843495,0.06699999999999995,0.06699999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.452
AUS,2001,27645.81402897013,10.227229604132333,Very High,,17.62,,0.152,55.07,71.87,5.972060301,88.31161221,89.91053375,19.365433,25.0,75.0,VB,Very High,,21.23473189,20.66390928,,0.958,25456.6479,51571.08065,0.877166344,0.916028653,82.601,77.384,11.1689415,11.53037289,19.365433,0.04200000000000004,0.04200000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.153
AUT,2001,29556.40356004898,10.294055701897369,Very High,,13.782,,0.141,49.37,67.93,6.243517917,86.76142186,92.77908769,8.0422325,25.10121457,74.89878543,VB,Very High,,15.19525375,15.34857578,,0.96,40468.01191,72388.67978,0.862997537,0.898651898,81.566,75.582,10.73714297,11.70571463,8.0422325,0.040000000000000036,0.040000000000000036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.142
AZE,2001,3771.270579393898,8.235167247374232,High,ECA,26.892,,0.358,70.7,80.6,55.15855064,90.88500214,96.36000061,8.2517705,10.48387097,89.51612903,B,High,ECA,11.18808056,11.88181467,,0.944,4436.556644,7133.11692,0.640000685,0.678175252,68.906,63.024,9.904999971,10.82500005,8.2517705,0.05600000000000005,0.05600000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.358
BHS,2001,26796.51894838219,10.196027268076774,Very High,LAC,42.261,,0.36,71.1,81.7,63.12531968,91.38399734,88.27200012,0.327836,19.64285714,80.35714286,B,Very High,LAC,11.74467227,11.21415288,,1.003,27684.46797,40282.70726,0.789956966,0.787845327,76.121,69.557,11.31699982,10.87099972,0.327836,-0.0029999999999998916,0.0029999999999998916,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.36
BHR,2001,46161.57581776104,10.739903038765688,Very High,AS,11.248,,,35.51,85.96,22.77711644,56.95000076,74.69000244,0.6999555,,,,Very High,AS,13.06492472,11.28011465,,0.928,24221.10896,65239.17928,0.746092281,0.803729766,76.404,73.86,7.230000019,8.949999809,0.6999555,0.07199999999999995,0.07199999999999995,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
BGD,2001,1597.587406074936,7.376249899042827,Medium,SA,147.804,,0.657,45.94,87.28,436.9226491,22.03000069,31.30999947,136.8058105,9.090909091,90.90909091,NB,Medium,SA,7.562663269,7.969331233,,0.839,1351.096347,3420.308023,0.437570936,0.521701924,63.703,62.077,3.779999971,5.0,136.8058105,0.16100000000000003,0.16100000000000003,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.648
BRB,2001,15030.00683407129,9.617803937442279,Very High,LAC,61.304,,0.368,63.36,74.72,48.5684531,80.47226742,77.86910243,0.2624255,20.40816327,79.59183673,B,Very High,LAC,15.07314014,13.66191959,,0.993,11580.38293,17718.32923,0.758316026,0.763972662,76.983,72.246,9.182077494,8.923892235,0.2624255,0.007000000000000006,0.007000000000000006,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.368
BLR,2001,6238.098629931937,8.738430708189265,Very High,ECA,24.7,,0.255,52.9,63.08,22.95516133,82.15356851,91.4764973,9.938065,18.35443038,81.64556962,B,Very High,ECA,13.6655798,13.32984495,,1.022,10127.46655,13642.50302,0.738064434,0.721886321,74.465,62.69,10.24073458,10.75276863,9.938065,-0.02200000000000002,0.02200000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,
BEL,2001,28796.57958044622,10.268011894503129,Very High,,11.83,,0.135,41.87,60.51,8.012772261,71.55522964,77.07114426,10.2870045,24.88687783,75.11312217,VB,Very High,,18.9028492,17.73175049,,0.969,37724.13069,71288.26382,0.881120073,0.909098442,81.157,74.919,10.37563428,10.93663381,10.2870045,0.031000000000000028,0.031000000000000028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.132
BLZ,2001,7863.517144729821,8.96998925922087,High,LAC,97.927,,0.505,35.67,69.43,86.05525642,29.66580041,29.81607072,0.2483785,13.51351351,86.48648649,MB,High,LAC,12.27985001,11.88300991,,0.939,6125.321665,15394.3297,0.649838504,0.692262482,71.66,66.619,7.278571333,7.408571652,0.2483785,0.061000000000000054,0.061000000000000054,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.508
BEN,2001,1745.982562201097,7.4650727490650794,Low,SSA,119.261,,0.657,68.7,66.61,483.2168138,8.218392428,20.79101835,7.445596,6.024096386,93.97590361,NB,Low,SSA,5.458889961,8.746479988,,0.792,2378.233595,2957.925552,0.37514219,0.473448055,58.249,54.982,1.466910661,3.502400139,7.445596,0.20799999999999996,0.20799999999999996,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.655
BTN,2001,3338.492472141232,8.113274628432787,Medium,SA,53.936,,,,,257.0414338,,,0.6107945,9.333333333,90.66666667,,Medium,SA,7.695273399,8.676866849,,,,,,,64.891,62.023,,,0.6107945,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BOL,2001,3434.144156354644,8.141523019712793,High,LAC,89.908,,0.569,60.2,75.9,261.2192891,35.25,48.47000122,8.752736,10.1910828,89.8089172,NB,High,LAC,14.18628981,14.9875399,,0.921,4804.503042,7162.948362,0.612341623,0.665045054,64.74,60.486,6.300000191,8.18999958,8.752736,0.07899999999999996,0.07899999999999996,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.581
BIH,2001,4307.123118175152,8.36802547024461,Very High,ECA,17.69,,,28.65,55.47,14.28980773,,,4.179438,5.263157895,94.73684211,,Very High,ECA,,,,,4930.961603,12832.83411,,,78.7,71.892,5.508266136,7.864460327,4.179438,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BWA,2001,9225.95858080616,9.129776374708833,High,SSA,71.463,,0.499,46.17,64.95,183.8637385,45.60570931,47.23006564,1.712254,17.0212766,82.9787234,MB,High,SSA,11.70831013,11.75096989,,0.944,9061.255702,15795.84414,0.57651724,0.610487667,53.957,50.465,7.692,7.808,1.712254,0.05600000000000005,0.05600000000000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5
BRA,2001,9303.645291832105,9.138161569206071,High,LAC,84.155,,0.495,54.39,80.78,67.92029092,38.27000046,37.16999817,176.301203,6.745362563,93.25463744,MB,High,LAC,15.24819947,14.04843344,,0.993,9344.528343,17566.15516,0.689160798,0.694200678,73.4,66.699,5.588341006,5.276454224,176.301203,0.007000000000000006,0.007000000000000006,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.506
BRN,2001,74253.88171612432,11.215245334303487,Very High,EAP,28.159,,,56.43,79.33,50.40719319,72.62395891,76.7776135,0.333345,,,,Very High,EAP,12.01953983,11.28524971,,0.992,68476.26299,111248.2939,0.789751377,0.796004002,76.569,72.248,7.996,8.56,0.333345,0.008000000000000007,0.008000000000000007,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
BGR,2001,6961.039968343281,8.848084162905275,Very High,,42.794,,0.268,46.44,56.73,20.9893997,84.97000122,91.04000092,7.928452,26.25,73.75,B,Very High,,12.99240971,12.60848999,,0.983,10651.19246,16450.66467,0.734763484,0.747274304,75.398,68.529,9.909999847,10.18000031,7.928452,0.017000000000000015,0.017000000000000015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.336
BFA,2001,947.9193746357712,6.8542694507856865,Low,SSA,128.828,,0.639,81.16,89.8,499.6107976,4.658886078,11.08767857,12.295001,10.98901099,89.01098901,NB,Low,SSA,2.886134982,4.145665169,,,1230.187443,1731.58822,,,52.609,49.68,,,12.295001,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.644
BDI,2001,528.3111615338125,6.269685431211549,Low,SSA,81.718,,0.605,82.47,82.32,823.0207262,6.133333233,9.480000205,6.634365,14.40677966,85.59322034,NB,Low,SSA,4.056141917,5.178091456,,0.855,870.3550462,1123.997606,0.285430973,0.334000765,50.868,46.166,1.510555582,2.620000084,6.634365,0.14500000000000002,0.14500000000000002,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.609
CPV,2001,3216.646511826267,8.0760946398918,Medium,SSA,97.364,,,,,103.4177383,,,0.460293,11.11111111,88.88888889,,Medium,SSA,10.92833996,10.71479988,,,,,,,72.705,64.467,5.242357227,5.658284257,0.460293,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
KHM,2001,1357.426111003675,7.213345620126843,Medium,EAP,56.35,,0.612,81.88,85.43,573.959736,6.980243868,18.55913002,12.658484,9.289617486,90.71038251,NB,Medium,EAP,7.739059925,9.425510406,,0.886,1614.082159,1689.332669,0.425486268,0.480160599,62.478,58.214,2.493657127,4.561927519,12.658484,0.11399999999999999,0.11399999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.614
CMR,2001,2190.89640714648,7.692066057394377,Medium,SSA,138.445,,0.678,65.5,76.4,629.2503285,19.95667824,38.59613284,15.3094905,5.555555556,94.44444444,NB,Medium,SSA,7.896110058,9.445210457,,0.867,2984.377195,4238.170908,0.423825621,0.488921703,54.724,52.451,2.40070656,3.650381044,15.3094905,0.133,0.133,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.681
CAN,2001,30230.84876857615,10.316618164408004,Very High,,16.102,,0.143,59.75,72.27,9.821888487,88.183244,88.76838604,31.213577,23.6453202,76.3546798,VB,Very High,,16.09366907,15.28483418,,0.979,32616.36053,55743.66081,0.885319291,0.904525125,81.936,76.847,12.63000011,12.72000027,31.213577,0.02100000000000002,0.02100000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.149
CAF,2001,668.4459392544321,6.504955524542599,Low,SSA,141.398,,,,,1283.696636,7.686,22.716,3.919487,7.339449541,92.66055046,,Low,SSA,3.995779963,6.009475989,,,,,,,47.716,45.83,1.491093037,4.147549496,3.919487,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
TCD,2001,828.7192127486877,6.719881391788839,Low,SSA,195.801,,,,,1343.011528,2.202857508,11.57785959,8.804124,2.4,97.6,,Low,SSA,3.677520037,6.670899868,,,,,,,49.368,47.222,0.617184376,2.135840032,8.804124,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
