iso3,year,GDP,logGDP,hdicode_x,region_x,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",GII Rank,Gender Inequality Index (value),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, total (millions)_x","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)",GII_Category,hdicode_y,region_y,"Expected Years of Schooling, female (years)","Expected Years of Schooling, male (years)",GDI Group,Gender Development Index (value),"Gross National Income Per Capita, female (2021 PPP$)","Gross National Income Per Capita, male (2021 PPP$)",HDI female (value),HDI male (value),"Life Expectancy at Birth, female (years)","Life Expectancy at Birth, male (years)","Mean Years of Schooling, female (years)","Mean Years of Schooling, male (years)","Population, total (millions)_y",GDI_gap,GDI_gap_abs,A woman can apply for a passport in the same way as a man (1=yes; 0=no),A woman can be head of household in the same way as a man (1=yes; 0=no),A woman can choose where to live in the same way as a man (1=yes; 0=no),A woman can get a job in the same way as a man (1=yes; 0=no),A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),A woman can open a bank account in the same way as a man (1=yes; 0=no),A woman can register a business in the same way as a man (1=yes; 0=no),A woman can sign a contract in the same way as a man (1=yes; 0=no),A woman can travel outside her home in the same way as a man (1=yes; 0=no),A woman can travel outside the country in the same way as a man (1=yes; 0=no),A woman can work at night in the same way as a man (1=yes; 0=no),A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),A woman can work in an industrial job in the same way as a man (1=yes; 0=no),A woman has the same rights to remarry as a man (1=yes; 0=no),Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),Dismissal of pregnant workers is prohibited (1=yes; 0=no),Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),Law prohibits discrimination in employment based on gender (1=yes; 0=no),Men and married women have equal ownership rights to immovable property (1=yes; 0=no),Paid leave is available to fathers (1=yes; 0=no),Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),The government administers 100% of maternity leave benefits (1=yes; 0=no),The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),The mandatory retirement age for men and women is the same (1=yes; 0=no),There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),There is legislation on sexual harassment in employment (1=yes; 0=no),There is legislation specifically addressing domestic violence (1=yes; 0=no),There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),There is paid parental leave (1=yes; 0=no),Gender Inequality Index (value)_shifted
BHR,1990,26902.06114472135,10.199958185134927,Very High,AS,24.609,,,28.0,89.2,35.82671489,33.69438278,31.6814599,0.5147965,,,,Very High,AS,13.48758356,13.10221252,,0.922,20799.66553,53614.18735,0.696388417,0.754953513,73.397,71.943,4.808319001,5.316487897,0.5147965,0.07799999999999996,0.07799999999999996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
BGD,1990,940.6544708006596,6.8465758785301905,Medium,SA,178.305,,0.7,62.57,88.33,906.4535788,11.94082594,25.98568613,111.633717,9.090909091,90.90909091,NB,Medium,SA,4.586209774,6.457330227,,0.756,1188.903439,2251.485258,0.337474632,0.446565706,55.574,56.05,2.237852744,4.194934419,111.633717,0.244,0.244,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BRB,1990,11071.64797342208,9.312142883044023,Very High,LAC,60.275,,0.385,60.18,75.65,55.69267611,69.38086325,63.38312493,0.2585815,18.36734694,81.63265306,B,Very High,LAC,12.74997044,13.14805984,,0.968,10745.59793,16572.62174,0.716547672,0.740180991,75.754,70.965,8.443041191,8.203131639,0.2585815,0.03200000000000003,0.03200000000000003,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BLR,1990,5220.474730930233,8.560343621364122,Very High,ECA,42.39,,,,,38.12184142,,,10.1862605,,,,Very High,ECA,12.97064533,12.10815487,,,,,,,76.008,65.886,,,10.1862605,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
BEL,1990,18675.31219479845,9.834957727119571,Very High,,11.998,,0.18,36.55,61.04,7.881216951,58.00617522,65.90461951,9.960968,15.83710407,84.16289593,VB,Very High,,14.1269598,14.06556988,,0.956,28479.2406,61584.83185,0.802633755,0.839958585,79.332,72.701,9.008845975,9.855445677,9.960968,0.04400000000000004,0.04400000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BLZ,1990,4473.902908954394,8.406016440642137,High,LAC,127.885,,,,,82.35718041,20.34228973,21.68215841,0.1830755,10.81081081,89.18918919,,High,LAC,10.25053252,10.03044247,,,,,,,71.82,67.566,5.382364172,5.512247778,0.1830755,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BEN,1990,1186.116068977906,7.078439440686404,Low,SSA,126.666,,0.7,56.6,98.64,563.2541079,4.289348866,14.37377378,5.281479,7.228915663,92.77108434,NB,Low,SSA,,,,,1401.057496,3088.617595,,,55.899,50.114,0.768114139,2.347722576,5.281479,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
BTN,1990,1637.871812364765,7.401153002721079,Medium,SA,95.604,,,,,603.6196214,,,0.589287,2.0,98.0,,Medium,SA,4.482837311,6.676989595,,,,,,,57.141,54.717,,,0.589287,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BOL,1990,2284.012683183344,7.733689123817989,High,LAC,97.511,,,46.56,75.35,451.948086,37.00249971,53.60721227,7.1301425,,,,High,LAC,10.47568511,11.64573459,,0.852,2873.235606,6911.506052,0.504302451,0.591852979,58.379,55.221,5.012154393,7.045539952,7.1301425,0.14800000000000002,0.14800000000000002,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
BIH,1990,1042.545319620786,6.949420424786382,Very High,ECA,38.109,,,,,33.16515686,,,4.448652,,,,Very High,ECA,,,,,,,,,75.511,67.621,,,4.448652,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
