FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,AGG_METHOD_ID,AGG_METHOD_NAME,DECIMALS_ID,DECIMALS_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,COMMENT_TS,UNIT_MULT_ID,UNIT_MULT_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.55922942669,8244.045660114334,10056.26139274136,11507.21715098495,12187.53636118979,13233.99051696833,13892.60514277364,14700.9598081521,16055.28778743375,16548.71738689872,16620.9545555513,17750.00956441982,18828.08705940713,19216.1972354472,20681.02302696252,20740.13258281722,21307.24825052669,21949.48599608684,23700.63198991973,24171.83713254216,24845.65848361999,26736.30894440462,28171.90940085007,25134.7712303589,24093.14015106257,25712.3843015186,25119.66554498384,25813.57672742267,26129.83906176927,27458.2253310273,27441.52966172824,28440.05196375895,30082.12764481856,31096.20507386761,22855.93232007607,27200.06107939689,30559.53353465806,33984.79061980409
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,186.1324316979413,186.9471819797433,197.408105261528,225.4470065744974,209.0057859713094,226.8830670087174,240.9621936278409,243.8243672879963,257.197511796759,281.6374129196861,276.7900558752065,294.8746679408869,311.5280182130196,389.80823299743,463.5631816541162,479.1760072529243,468.8698757468813,518.4655906676443,571.736784460845,634.5802264934638,773.4617985385921,777.8555814519688,725.7490816769392,732.6098875813515,650.5823142335302,554.455164105838,578.6206721753457,665.1389717312012,704.4865735435853,728.5703834827733,822.8176382967598,862.8482743208507,733.1783461016923,709.6638984157128,701.041569805609,766.8206041446515,747.0697363386107,767.6841877902805,697.3526926141611,670.6978277705176,707.1203763275056,626.169148423877,625.9988149543187,809.9681394344358,981.7446305265024,1115.713955566488,1220.002468205903,1362.310650768007,1421.118612110689,1386.590206490728,1601.727748080247,1735.585140053937,1702.969257580034,1673.140475806857,1656.10764215035,1479.564123481166,1329.777823755829,1520.171298392873,1538.924187735642,1493.780444900367,1344.080961920036,1522.590088049716,1628.024525709594,1659.51529015376
A,Annual,AFG,Afghanistan,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9309914301663,138.7068216761131,178.9540883792353,198.8711157287266,221.7636538730131,254.1842491493362,274.2185535615745,376.2231520038759,381.7332380284397,452.053705477043,560.6215054631456,606.6946763377257,651.4171344700457,637.0870991170988,625.0549418139383,565.5697304087512,522.0822155838985,525.4697708916185,491.3372213826032,496.6025042584997,510.7870633668107,356.4962141158923,357.2611527981439,415.707417059086
A,Annual,AFW,Africa Western and Central,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,121.9383531375054,127.4526294206878,133.8254524425648,139.0067136553898,148.5477358913898,155.5638366328486,162.1093619818843,144.9426115857591,146.1880062658576,161.9199876455286,218.6748681156251,195.862429883454,230.0717734290186,280.6474673632851,368.2993182496138,413.3713251658008,480.4532519297518,490.8456982294783,523.7878505563131,624.8784994391908,757.0768724766865,1324.546002497383,1162.132846171366,872.831672960917,737.6750095742888,753.7997553846466,581.3907127615631,581.5238024440863,560.3805816164613,509.3267336272274,590.3214384687902,603.8789077767822,563.3100804498652,570.8886406589924,577.5487413022877,863.9505713754482,1065.683497220244,1088.996806796742,1137.744496164248,521.3647343497859,516.9323162557906,530.6531672712224,616.7960330624744,694.5009385971723,834.8612909469203,989.6997388319749,1222.550497755677,1393.748486795688,1652.189850070528,1439.047803215082,1647.149846985187,1824.722826664026,1920.119911687275,2113.31698591778,2204.995699699795,1845.767804211081,1616.843198002486,1560.16299864482,1703.896392228045,1783.654364911908,1664.24917643553,1747.840549115446,1777.235012166687,1568.724310451184
A,Annual,AGO,Angola,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,729.1119654898222,657.9826485473982,634.2214673127817,636.8328110229198,650.4910944132179,772.4688325862652,697.526602399253,770.1011400864501,807.4396283862403,907.747893072936,965.8668404646654,881.9194881300624,668.7060174598766,449.7278949362951,334.9735902760742,404.2948184961201,531.11713680614,521.7027250755332,429.1886540993672,392.7255390274963,563.733795571487,533.5862024124473,882.1478472343028,992.6989792546652,1266.210864102361,1916.468422186249,2617.051960226326,3141.045979760504,4103.066900363505,3136.645469559468,3597.342932163322,4615.910598317776,5086.027400863757,5057.747878331633,5005.999741270698,3213.902610800591,1807.952940726431,2437.259711908214,2538.591391433706,2189.855714076184,1449.92286669308,1925.874660821674,2929.694454672716,2308.159767312736
A,Annual,ALB,Albania,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,590.6077384305289,663.2942082543998,668.4545042424536,661.5467824486235,639.4847301614174,639.8659037555516,693.8734746338873,674.7933830694916,652.7743213965662,697.9955965765195,617.2304355155054,336.5869945046292,200.852219772323,367.2792250775811,586.4161351308651,750.6044491788258,1009.97711053398,717.3800477456734,813.789396580449,1033.242531624179,1126.683340107166,1281.659825617801,1425.124218601421,1846.120120812074,2373.581291700546,2673.787815835293,2972.743620947361,3595.038295364044,4370.53971639449,4114.134032830229,4094.349685704815,4437.141160970613,4247.631343159448,4413.063383468215,4578.633208121549,3952.803573648134,4124.05538986272,4531.032206758928,5365.489346728971,5460.428237305918,5370.778623129295,6413.283286050263,6846.426142660442,8575.171134462134
A,Annual,AND,Andorra,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,3935.411277796091,4169.695371038854,4940.296962392067,6151.02717030722,7139.574511983801,7925.41577090452,7721.288586467972,8167.922861593339,9409.508512727933,11996.40728603536,12474.9252919904,10465.26046436241,9697.522019941332,8082.091520174348,7808.130027135486,7911.984362239637,10539.1177869653,12828.15194301525,14599.03551787983,15714.92655165765,19563.65747224881,19533.26206680226,20099.53522085428,15916.83951620869,15748.53075033733,18443.25451977411,19130.15971513118,18247.99956513607,18536.50842826984,18875.28836985709,21810.24874314139,23511.29514757367,26528.13015814396,34063.57840347758,39021.12781018785,40829.80187696804,43467.21099307449,48336.22833298229,49132.51570780802,43975.01836680928,42746.83095260186,46657.15611737561,41500.54357916865,42470.31611596917,44369.65969137898,38654.93472030947,40129.81920076981,40672.99433482582,42819.77457976241,41257.80458464828,37361.09006669818,42425.6996756291,42414.05900921166,46812.44844863085
A,Annual,ARB,Arab World,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,212.8896610307772,210.8054135656093,225.8006289030398,243.8974306266898,256.180140917429,263.9508393060742,276.9329744460221,307.5368009440701,329.4314225610814,357.6947450038619,402.795034966669,470.1955930280067,602.466748038646,1124.966817281929,1205.473817168983,1458.144005892382,1630.359823637087,1728.205710121221,2251.506020975831,2954.049196446943,2911.007872307977,2640.585786421212,2417.324592163643,2357.268908731615,2247.927457297043,2042.585584715157,2108.585859709185,2042.057616262856,2117.752624294592,2875.257141613149,2048.809754904639,1996.377564469406,1987.857733648544,2018.685799561173,2081.02071196868,2193.873308919735,2305.616060631801,2192.61188801001,2378.950491115083,2664.165795714885,2536.711964719004,2483.107234249412,2696.672304748009,3133.736876647225,3750.508554490022,4355.087621868791,4940.702265117196,6091.932064456727,5134.450060551588,5928.304790053858,6883.374023585135,7336.197708154651,7311.296755080937,7259.936729337791,6203.702636404354,5957.059836593254,6005.390128639538,6576.516630839124,6525.211843123845,5648.341117893954,6445.807260934108,7658.406469733152,7292.210407806177
A,Annual,ARE,United Arab Emirates,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,2394.068114710547,2805.426427225868,3675.416814195336,9695.81418807304,23822.97155603065,27117.18807296136,31196.97917857585,35020.36043559615,29379.12774249905,34238.28644531866,42925.23387844073,44854.48003156148,39972.49466745944,34650.00412459884,32012.31415402729,29467.54197589288,23132.07396759882,23112.62342064597,21569.70688529969,23166.73059037871,26709.99344032698,25690.96863214481,25648.27277608442,25032.78227029065,25472.63965789791,27003.20068077823,28323.16508705322,27982.79570405639,24889.42691922791,25855.8605046587,29865.50234706601,27745.17080876723,27753.60895263462,29659.54285678113,33376.71522952092,38719.31383076232,44342.60483224819,45854.73251581623,50054.17006818033,37803.06637387768,43696.67125979225,50789.05054183472,52034.47624660726,52023.51709587509,51381.40699092131,43534.99726817325,41326.40181618341,42340.59171455765,45689.85700402154,44251.45413901483,37173.87541002806,43360.02110148062,49899.06529786487,49040.69475258245
A,Annual,ARG,Argentina,WB_WDI_NY_GDP_PCAP_CD,GDP per capita (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),GDP per capita (current US$),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,1160.306597981132,852.9724251394331,1176.200861903131,1281.833379768589,1275.078434189664,1063.932838335868,1141.952116173411,1329.561818324088,1322.714542168078,1372.507466460613,1409.370973162109,2097.899450108061,2844.969905267612,2026.684357528652,1946.919903882483,2126.485460480474,3282.063044462891,2511.973329059583,2747.502275167402,2764.086414210788,2914.767085041755,3537.747345983197,3915.03492645691,2905.775655361367,3436.078194710533,3477.301319793132,3992.703301791565,2374.573215516413,4315.333293586721,5709.247840795045,6789.996111364947,6931.855963758755,7437.562423275942,7357.616277378798,7663.212712874685,8146.787100214308,8218.992127646823,7705.542882528513,7637.014892036284,7141.475076628263,2569.699635191236,3320.477751339027,4242.020990894215,5067.653422932756,5869.380289702044,7185.251551470267,8944.1102657357,8150.235270282207,10260.13131082542,12704.28318196842,12949.71748665402,12963.67577332604,12233.14441191858,13679.62649809542,12699.96231377564,14532.50093085106,11752.79989229791,9955.974786804276,8535.59938004389,10738.01792233844,13935.6811110049,14187.48272529649
