STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REGION,,LOCATION,,INCOME,,VARIABLE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,MDG,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,MOZ,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,EAP,,MMR,,LIN,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,ZWE,,LIN,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SA,,BTN,,LMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,BOL,,LMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,COG,,LMI,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,SLV,,LMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,LSO,,LMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,MDA,,LMI,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,SSA,,SWZ,,LMI,,SB,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,UKR,,LMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,HUN,,UMI,,RR,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,LAC,,MEX,,UMI,,RC,,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_SIGI2014(1.0),,I,ECA,,TUR,,UMI,,RR,,2014,,0,,A,,,,,,,
